source_id,source,target_id,target,amount,year,amount2
94,Chrysler Foundation,516,University of Detroit Mercy,1500,2011,"0 - 1,999"
94,Chrysler Foundation,516,University of Detroit Mercy,25000,2011,"10,000 - 49,999"
94,Chrysler Foundation,539,Wayne State University,12750,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,8,"AIDS Partnership Michigan, Inc",12922,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,21,American Civil Liberties Union Fund of Michigan,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,21,American Civil Liberties Union Fund of Michigan,652,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,21,American Civil Liberties Union Fund of Michigan,1800,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,21,American Civil Liberties Union Fund of Michigan,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,21,American Civil Liberties Union Fund of Michigan,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,21,American Civil Liberties Union Fund of Michigan,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,21,American Civil Liberties Union Fund of Michigan,50000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,23,American Red Cross - Southeastern Michigan Chapter,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,23,American Red Cross - Southeastern Michigan Chapter,1250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,23,American Red Cross - Southeastern Michigan Chapter,160992,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,26,Archdiocese of Detroit,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,26,Archdiocese of Detroit,25000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,26,Archdiocese of Detroit,544815,2011,"500,000 - 999,999"
108,Community Foundation for Southeast Michigan,29,Arts & Scraps,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,30,"Arts League of Michigan, Inc",5138,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,31,Asian and Pacific Islander American Vote - Michigan,25000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,37,Barbara Ann Karmanos Cancer Institute,2000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,37,Barbara Ann Karmanos Cancer Institute,15000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,37,Barbara Ann Karmanos Cancer Institute,20364,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,37,Barbara Ann Karmanos Cancer Institute,25000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,37,Barbara Ann Karmanos Cancer Institute,50000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,37,Barbara Ann Karmanos Cancer Institute,189678,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,42,Belle Isle Women's Committee,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,42,Belle Isle Women's Committee,400,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,42,Belle Isle Women's Committee,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,45,Big Brothers Big Sisters of Metropolitan Detroit,50000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,53,"Boy Scouts of America - Great Lakes Council, Inc",1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,53,"Boy Scouts of America - Great Lakes Council, Inc",1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,53,"Boy Scouts of America - Great Lakes Council, Inc",2500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,53,"Boy Scouts of America - Great Lakes Council, Inc",5500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,53,"Boy Scouts of America - Great Lakes Council, Inc",64272,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,61,"Brightmoor Alliance, Inc",1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,61,"Brightmoor Alliance, Inc",2100,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,61,"Brightmoor Alliance, Inc",20000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,62,Brightmoor Community Center,80000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,77,Center for Autism,35000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,82,Charles H. Wright Museum of African American History,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,82,Charles H. Wright Museum of African American History,3000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,82,Charles H. Wright Museum of African American History,117581,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,87,Children's Hospital of Michigan Foundation,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,87,Children's Hospital of Michigan Foundation,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,87,Children's Hospital of Michigan Foundation,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,87,Children's Hospital of Michigan Foundation,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,87,Children's Hospital of Michigan Foundation,8866,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,87,Children's Hospital of Michigan Foundation,9000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,90,Christ Child House,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,95,Church of the Messiah Housing Corporation,12784,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,98,City Connect Detroit,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,98,City Connect Detroit,15000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,100,"City Year, Inc",250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,100,"City Year, Inc",500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,100,"City Year, Inc",36000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,102,Coalition on Temporary Shelter,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,102,Coalition on Temporary Shelter,14370,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,104,Coleman A. Young Foundation,300,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,105,College for Creative Studies,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,105,College for Creative Studies,22690,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,105,College for Creative Studies,46850,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,109,Community Health and Social Services Center,20000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,109,Community Health and Social Services Center,50000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,2500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,2500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,3125,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,3250,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,10250,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,36000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,36000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,51250,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,113,Cornerstone Schools Association,100000,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,116,"Covenant Community Care, Inc",50000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,117,Covenant House Michigan,9500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,117,Covenant House Michigan,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,120,Crossroads of Michigan,21825,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,124,"Delta Sigma Theta Detroit Foundation, Inc",100000,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,126,Detroit Area Agency on Aging,1557,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,126,Detroit Area Agency on Aging,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,128,Detroit Artists Market,300,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,128,Detroit Artists Market,550,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,128,Detroit Artists Market,2500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,128,Detroit Artists Market,29234,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,133,Detroit Chamber Winds and Strings,17590,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,133,Detroit Chamber Winds and Strings,67900,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,141,Detroit Cristo Rey High School,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,141,Detroit Cristo Rey High School,2000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,141,Detroit Cristo Rey High School,2500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,145,Detroit Economic Growth Association,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,145,Detroit Economic Growth Association,50000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,2270,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,2500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,3800,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,4200,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,15300,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,147,Detroit Educational Television Network,25000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,153,Detroit Historical Society,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,153,Detroit Historical Society,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,153,Detroit Historical Society,1050,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,153,Detroit Historical Society,6000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,153,Detroit Historical Society,15750,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,153,Detroit Historical Society,76219,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,155,Detroit Institute for Children,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,155,Detroit Institute for Children,2500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,155,Detroit Institute for Children,55750,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,260,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,300,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,571,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,1500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,2000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,6000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,6000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,6500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,12000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,21897,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,23680,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,27500,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,31000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,31750,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,156,Detroit Institute of the Arts,560214,2011,"500,000 - 999,999"
108,Community Foundation for Southeast Michigan,163,Detroit Parent Network,6900,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,168,"Detroit Regional Chamber Foundation, Inc",1648,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,168,"Detroit Regional Chamber Foundation, Inc",5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,168,"Detroit Regional Chamber Foundation, Inc",10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,168,"Detroit Regional Chamber Foundation, Inc",11750,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,168,"Detroit Regional Chamber Foundation, Inc",38250,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,168,"Detroit Regional Chamber Foundation, Inc",104237,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,168,"Detroit Regional Chamber Foundation, Inc",188700,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,168,"Detroit Regional Chamber Foundation, Inc",375000,2011,"250,000 - 499,999"
108,Community Foundation for Southeast Michigan,170,Detroit Rescue Mission Ministries,14250,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,170,Detroit Rescue Mission Ministries,23461,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,171,"Detroit Riverfront Conservancy, Inc",500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,171,"Detroit Riverfront Conservancy, Inc",70392,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,171,"Detroit Riverfront Conservancy, Inc",249555,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,171,"Detroit Riverfront Conservancy, Inc",300000,2011,"250,000 - 499,999"
108,Community Foundation for Southeast Michigan,173,Detroit Science Center,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,173,Detroit Science Center,25000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,173,Detroit Science Center,37680,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,482,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,15000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,20000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,100000,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,113650,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,300000,2011,"250,000 - 499,999"
108,Community Foundation for Southeast Michigan,175,Detroit Symphony Orchestra,784444,2011,"500,000 - 999,999"
108,Community Foundation for Southeast Michigan,182,Detroit Zoological Society,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,182,Detroit Zoological Society,4250,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,182,Detroit Zoological Society,37500,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,182,Detroit Zoological Society,250319,2011,"250,000 - 499,999"
108,Community Foundation for Southeast Michigan,189,"Downtown Detroit Partnership, Inc",1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,189,"Downtown Detroit Partnership, Inc",15000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,189,"Downtown Detroit Partnership, Inc",350000,2011,"250,000 - 499,999"
108,Community Foundation for Southeast Michigan,189,"Downtown Detroit Partnership, Inc",1000000,2011,"1,000,000 - 2,999,999"
108,Community Foundation for Southeast Michigan,194,Ecumenical Theological Seminary,18780,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,204,Equality Michigan,1450,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,204,Equality Michigan,10700,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,204,Equality Michigan,20000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,204,Equality Michigan,20965,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,207,"Eta Phi Beta Sorority Foundation, Inc",6264,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,208,Evangelical Homes of Michigan,80000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,216,Fellowship Chapel,2000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,216,Fellowship Chapel,3000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,216,Fellowship Chapel,3000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,222,Focus: HOPE,1750,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,222,Focus: HOPE,2000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,222,Focus: HOPE,3750,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,222,Focus: HOPE,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,222,Focus: HOPE,8812,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,222,Focus: HOPE,22500,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,222,Focus: HOPE,47597,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,230,"Free Press Charities, Inc",1500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,230,"Free Press Charities, Inc",34000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,235,Friends School in Detroit,31309,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,241,"Gleaners Community Food Bank, Inc",500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,241,"Gleaners Community Food Bank, Inc",1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,241,"Gleaners Community Food Bank, Inc",2000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,241,"Gleaners Community Food Bank, Inc",2750,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,241,"Gleaners Community Food Bank, Inc",10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,241,"Gleaners Community Food Bank, Inc",21500,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,241,"Gleaners Community Food Bank, Inc",30615,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,242,Goodwill Industries of Greater Detroit,53750,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,242,Goodwill Industries of Greater Detroit,61732,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,243,Grace Episcopal Church,20000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,244,Grandmont Rosedale Development Corporation,7164,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,252,Greening of Detroit,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,252,Greening of Detroit,1500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,252,Greening of Detroit,9050,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,252,Greening of Detroit,171000,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,258,Heat and Warmth Fund (THAW),1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,258,Heat and Warmth Fund (THAW),5250,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,259,Heidelberg Project,25000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,2500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,7000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,50000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,263,Henry Ford Health System Foundation,63600,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,272,"Hospice of Michigan, Inc",83452,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,286,Japan-American Society of Greater Detroit,10320,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,288,"Jefferson East, Inc",80000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,292,"Joy of Jesus, Inc",54965,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,315,Life Challenge of Southeastern Michigan,18521,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,316,Lions Hearing Center of Michigan,14700,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,324,Loyola High School,3000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,324,Loyola High School,9620,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,324,Loyola High School,14750,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,327,Manna Community Meals,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,327,Manna Community Meals,5137,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,328,Mariners Inn,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,328,Mariners Inn,11429,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,328,Mariners Inn,30000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,329,Marygrove College,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,329,Marygrove College,15000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,330,Matrix Human Services,8000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,335,Methodist Children's Home Society,5000,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,349,Michigan Opera Theatre,500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,349,Michigan Opera Theatre,1000,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,349,Michigan Opera Theatre,6500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,349,Michigan Opera Theatre,13138,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,349,Michigan Opera Theatre,50000,2011,"50,000 - 99,999"
108,Community Foundation for Southeast Michigan,349,Michigan Opera Theatre,118778,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,350,Michigan Opportunities and Resources for Entrepreneurs (MORE),10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,350,Michigan Opportunities and Resources for Entrepreneurs (MORE),250000,2011,"250,000 - 499,999"
108,Community Foundation for Southeast Michigan,352,Michigan Roundtable for Diversity and Inclusion,250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,352,Michigan Roundtable for Diversity and Inclusion,10000,2011,"10,000 - 49,999"
108,Community Foundation for Southeast Michigan,363,"Midtown Detroit, Inc",250,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,363,"Midtown Detroit, Inc",500,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,363,"Midtown Detroit, Inc",100000,2011,"100,000 - 249,999"
108,Community Foundation for Southeast Michigan,363,"Midtown Detroit, Inc",250000,2011,"250,000 - 499,999"
108,Community Foundation for Southeast Michigan,363,"Midtown Detroit, Inc",875000,2011,"500,000 - 999,999"
108,Community Foundation for Southeast Michigan,372,Museum of Contemporary Art Detroit (MOCAD),7500,2011,"2,000 - 9,999"
108,Community Foundation for Southeast Michigan,384,Neighborhood Service Organization,1087,2011,"0 - 1,999"
108,Community Foundation for Southeast Michigan,384,Neighborhood Service Organization,21000,2011,"10,000 - 49,999"
